before,after,basis,confidence,source_file
"이탈리아, 여기에 이탈리아.",이탈리아요.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
"- 얼마나 오래 갔던 거야? 패러글라이딩도 했다고? - 네, 강사님과 함께 탔어요.",패러글라이딩까지 했다고? 강사랑 같이 탄 거지?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
맞아요. 그래서 강사분이 너무 당황해서 불시착하고…,맞아요. 강사분도 당황할 만큼 아찔한 순간이 있었어요.,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
카메라 보고 말해 봐.,카메라 보고 얘기해 봐.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
"다짱, 고마워.",고마워.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
두근두근해 버려.,심장이 두근거리잖아.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
진짜로?,그래?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
"어, 좀 지쳐 보이는데요?",좀 피곤해 보여요.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
"왠지, 아.","아, 뭐야.",일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
어때? 맛은?,어때? 맛 평가해 줘.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
진짜네?,진짜?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
이게 제 꿈이었어요!,이게 제 로망이었어요!,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
몇 개나 먹는 거야!,몇 개째야!,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
몇 마리야?,이게 무슨 부위지?,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
없어?,남자친구 없어?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
없어?,진짜로?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
정말 없어요!,정말 없어요.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
몇 마리야?,몇 명 정도 사귀어 봤어?,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
몇 마리나 있어?,몇 명쯤?,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
몇 마리야?,대충 몇 명?,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
이상하지 않았어?,오래 사귄 사람은 없었어?,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
이상하지 않았어?,오래 만난 사람은?,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
왠지 별로 사귄 적이 없어서…,많이 사귀어 본 편이 아니라서…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
"맞아요, 2달 정도, 별로…","네, 길어야 두세 달 정도라…",일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
사귀어 본 적이 별로 없어서…,오래 사귀어 본 적이 없어요.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
진짜 한 100명 있는 거 아냐?,그래도 한 백 명쯤 되는 거 아냐?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
"아뇨, 2달, 100명이라뇨…",아니에요. 백 명이라뇨…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
3달 정도밖에 안 사귀어 봐서…,제일 길어도 석 달 정도였어요.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
다 합쳐서…,전부 합쳐도요…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
"아뇨, 집순이였어서…",장거리 연애였어서…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
호텔?,러브호텔?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
러브호텔 가고…,러브호텔에 가고…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
왼쪽으로 도는 거야?,그다음엔?,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
그걸 먹고…,뭐 좀 먹고…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
잠깐…,그리고…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
맥주로 시원하게…,맥주도 시원하게 마시고…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
술고래 같은 느낌…,완전 술 좋아하는 사람 같네.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
맥주를 쭉 마시고…,맥주를 쭉 들이켜고…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
쭉 마시고…,한 번에 쭉…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
불꽃축제 끝난 뒤에…,불꽃축제가 끝난 뒤라든가…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
분위기 있지.,그런 분위기 좋지.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
그런 불꽃축제 뒤라던가…,불꽃축제가 끝난 뒤에 말이야…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
감성 돋네…,진짜 분위기 있겠다.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
그 뒤에 제대로 하고 싶네…,그 뒤에 제대로 해 보고 싶네.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
대단하네요.,바다다!,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
바다 더럽네.,바다 예쁘다.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
바다 더럽네.,진짜 예쁘네.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
조심해. 지금은 안 되니까.,조심해. 아직 내려가면 안 돼.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
그래도 바다 더럽네.,그래도 바다 좋네.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
맛있다.,바람 좋다.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
넓다…!,넓다!,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
부활했어?,다시 섰어?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
체크인 전에 잠깐 해 버리자.,체크인 전에 잠깐 하고 가자.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
러브호텔 가 버릴까.,러브호텔부터 갈까?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
일단은 말이야.,일단 가 볼까?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
만약 만실이면 포기할 테니까.,만실이면 포기할게.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
사람이 더 없어졌어.,사람이 완전히 없어졌네.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
와버렸네.,결국 와 버렸네.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
하지 마.,잠깐만.,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
"뭐, 먹으러.",벌써부터 그러지 마.,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
정말로.,진짜로.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
"잠깐, 여기서 웃고 있어.",지금 웃고 있잖아.,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
"하지 마, 하지 마, 하지 마, 하지 마.","잠깐, 잠깐, 잠깐.",일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
"하지 마. 미안, 미안해, 미안해.","잠깐만. 미안, 미안해.",일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
어느 쪽이지?,어느 쪽부터 할까?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
이 고개 숙인 얼굴.,고개 숙인 얼굴도 귀여워.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
부끄러워하며 보여주는 거.,부끄러워하면서도 보여 주네.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
부끄러웠겠지.,많이 부끄러웠지?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
부끄러운가 봐.,아직도 부끄러운가 봐.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
빨고 싶다고 생각했어.,계속 빨아 보고 싶었어.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
만지면 기분 좋을 것 같아.,만지기만 해도 기분 좋을 것 같아.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
좀 만지고 싶었거든.,아까부터 만져 보고 싶었거든.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
더 커지진 않을지도 몰라.,더 커질지도 모르겠네.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
몸이 저절로 움직여.,몸이 저절로 움직이네.,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
분위기에 휩쓸려서 열심히 하고 있어.,벌써 몸이 반응하고 있어.,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
위에 올라탔어.,그대로 위에 올라타 봐.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
오늘은 이런 느낌이야.,오늘은 네가 하고 싶은 대로 해.,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
처음엔 편하게 해도 돼.,처음엔 천천히 해도 돼.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
오늘은 서로 원하는 대로 해 보려고.,서로 하고 싶은 대로 해 보자.,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
누가 발견하면 딱 걸리겠지.,누가 보면 바로 들키겠지.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
이상하다. 장난기 있네.,장난기 가득한 표정이네.,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
